vzs,naziv,datum,razlika,z,z_flag,if_flag,konsenz
1626,Endoproteza kolena,2026-06-17,-5.0,-0.053,False,False,False
1626,Endoproteza kolena,2026-06-24,113.0,0.445,False,False,False
1626,Endoproteza kolena,2026-07-01,-19.0,-0.112,False,False,False
1626,Endoproteza kolena,2026-07-08,118.0,0.466,False,False,False
1626,Endoproteza kolena,2026-07-15,8.0,0.002,False,False,False
AGREGAT,Agregat,2024-04-11,161.0,-0.056,False,False,False
AGREGAT,Agregat,2024-04-18,2356.0,0.39,False,False,False
AGREGAT,Agregat,2024-04-25,706.0,0.055,False,False,False
AGREGAT,Agregat,2024-05-03,1696.0,0.256,False,False,False
AGREGAT,Agregat,2024-05-09,-366.0,-0.163,False,False,False
AGREGAT,Agregat,2024-05-16,-1968.0,-0.488,False,False,False
AGREGAT,Agregat,2024-05-23,-16.0,-0.092,False,False,False
AGREGAT,Agregat,2024-05-30,1146.0,0.144,False,False,False
AGREGAT,Agregat,2024-06-06,-3223.0,-0.743,False,False,False
AGREGAT,Agregat,2024-06-13,4482.0,0.822,False,False,False
AGREGAT,Agregat,2024-06-20,-2430.0,-0.582,False,False,False
AGREGAT,Agregat,2024-06-27,984.0,0.111,False,False,False
AGREGAT,Agregat,2024-07-04,-198.0,-0.129,False,False,False
AGREGAT,Agregat,2024-07-11,-752.0,-0.241,False,False,False
AGREGAT,Agregat,2024-07-18,-7098.0,-1.53,False,False,False
AGREGAT,Agregat,2024-07-25,-2026.0,-0.5,False,False,False
AGREGAT,Agregat,2024-08-01,-2506.0,-0.597,False,False,False
AGREGAT,Agregat,2024-08-08,1159.0,0.147,False,False,False
AGREGAT,Agregat,2024-08-16,-497.0,-0.189,False,False,False
AGREGAT,Agregat,2024-08-22,-328.0,-0.155,False,False,False
AGREGAT,Agregat,2024-08-29,12726.0,2.496,True,True,True
AGREGAT,Agregat,2024-09-05,-2813.0,-0.66,False,False,False
AGREGAT,Agregat,2024-09-12,-576.0,-0.205,False,False,False
AGREGAT,Agregat,2024-09-19,265.0,-0.035,False,False,False
AGREGAT,Agregat,2024-09-26,-333.0,-0.156,False,False,False
AGREGAT,Agregat,2024-10-03,2307.0,0.38,False,False,False
AGREGAT,Agregat,2024-10-10,1030.0,0.121,False,False,False
AGREGAT,Agregat,2024-10-17,-2771.0,-0.651,False,False,False
AGREGAT,Agregat,2024-10-24,1723.0,0.261,False,False,False
AGREGAT,Agregat,2024-10-31,1222.0,0.16,False,False,False
AGREGAT,Agregat,2024-11-07,101.0,-0.068,False,False,False
AGREGAT,Agregat,2024-11-14,375.0,-0.012,False,False,False
AGREGAT,Agregat,2024-11-21,-1050.0,-0.302,False,False,False
AGREGAT,Agregat,2024-11-28,98.0,-0.069,False,False,False
AGREGAT,Agregat,2024-12-05,-1260.0,-0.344,False,False,False
AGREGAT,Agregat,2024-12-12,-102.0,-0.109,False,False,False
AGREGAT,Agregat,2024-12-19,-34.0,-0.095,False,False,False
AGREGAT,Agregat,2025-01-08,294.0,-0.029,False,False,False
AGREGAT,Agregat,2025-01-15,11.0,-0.086,False,False,False
AGREGAT,Agregat,2025-01-22,1660.0,0.249,False,False,False
AGREGAT,Agregat,2025-01-29,3061.0,0.533,False,False,False
AGREGAT,Agregat,2025-02-05,683.0,0.05,False,False,False
AGREGAT,Agregat,2025-02-12,4463.0,0.818,False,False,False
AGREGAT,Agregat,2025-02-19,-302.0,-0.15,False,False,False
AGREGAT,Agregat,2025-02-26,4266.0,0.778,False,False,False
AGREGAT,Agregat,2025-03-05,221.0,-0.044,False,False,False
AGREGAT,Agregat,2025-03-12,1862.0,0.29,False,False,False
AGREGAT,Agregat,2025-03-19,319.0,-0.024,False,False,False
AGREGAT,Agregat,2025-03-26,1474.0,0.211,False,False,False
AGREGAT,Agregat,2025-04-02,357.0,-0.016,False,False,False
AGREGAT,Agregat,2025-04-09,1274.0,0.17,False,False,False
AGREGAT,Agregat,2025-04-16,558.0,0.025,False,False,False
AGREGAT,Agregat,2025-04-23,1002.0,0.115,False,False,False
AGREGAT,Agregat,2025-04-30,3201.0,0.562,False,False,False
AGREGAT,Agregat,2025-05-07,-1751.0,-0.444,False,False,False
AGREGAT,Agregat,2025-05-14,1352.0,0.186,False,False,False
AGREGAT,Agregat,2025-05-21,-418.0,-0.173,False,False,False
AGREGAT,Agregat,2025-05-28,2263.0,0.371,False,False,False
AGREGAT,Agregat,2025-06-04,2628.0,0.445,False,False,False
AGREGAT,Agregat,2025-06-11,-32669.0,-6.724,True,True,True
AGREGAT,Agregat,2025-06-18,31161.0,6.24,True,True,True
AGREGAT,Agregat,2025-07-02,736.0,0.061,False,True,False
AGREGAT,Agregat,2025-07-09,1202.0,0.156,False,True,False
AGREGAT,Agregat,2025-07-16,-637.0,-0.218,False,False,False
AGREGAT,Agregat,2025-07-23,3255.0,0.573,False,False,False
AGREGAT,Agregat,2025-07-30,-1267.0,-0.346,False,False,False
AGREGAT,Agregat,2025-08-06,1237.0,0.163,False,False,False
AGREGAT,Agregat,2025-08-13,1062.0,0.127,False,False,False
AGREGAT,Agregat,2025-08-20,-8137.0,-1.741,False,True,False
AGREGAT,Agregat,2025-08-27,6643.0,1.261,False,False,False
AGREGAT,Agregat,2025-09-03,-542.0,-0.199,False,False,False
AGREGAT,Agregat,2025-09-10,960.0,0.106,False,False,False
AGREGAT,Agregat,2025-09-17,322.0,-0.023,False,False,False
AGREGAT,Agregat,2025-09-24,832.0,0.081,False,False,False
AGREGAT,Agregat,2025-10-01,-526.0,-0.195,False,False,False
AGREGAT,Agregat,2025-10-08,1514.0,0.219,False,False,False
AGREGAT,Agregat,2025-10-15,2099.0,0.338,False,False,False
AGREGAT,Agregat,2025-10-22,1200.0,0.155,False,False,False
AGREGAT,Agregat,2025-10-29,3220.0,0.566,False,False,False
AGREGAT,Agregat,2025-11-05,-1758.0,-0.446,False,False,False
AGREGAT,Agregat,2025-11-12,1223.0,0.16,False,False,False
AGREGAT,Agregat,2025-11-19,132.0,-0.062,False,False,False
AGREGAT,Agregat,2025-11-26,1229.0,0.161,False,False,False
AGREGAT,Agregat,2025-12-03,-333.0,-0.156,False,False,False
AGREGAT,Agregat,2025-12-10,-990.0,-0.29,False,False,False
AGREGAT,Agregat,2025-12-17,-1728.0,-0.439,False,False,False
AGREGAT,Agregat,2026-01-07,-282.0,-0.146,False,False,False
AGREGAT,Agregat,2026-01-14,951.0,0.105,False,False,False
AGREGAT,Agregat,2026-01-21,1953.0,0.308,False,False,False
AGREGAT,Agregat,2026-01-28,3337.0,0.589,False,False,False
AGREGAT,Agregat,2026-02-04,1965.0,0.311,False,False,False
AGREGAT,Agregat,2026-02-11,1500.0,0.216,False,False,False
AGREGAT,Agregat,2026-02-18,4479.0,0.821,False,False,False
AGREGAT,Agregat,2026-02-25,-1295.0,-0.352,False,False,False
AGREGAT,Agregat,2026-03-04,-1330.0,-0.359,False,False,False
AGREGAT,Agregat,2026-03-11,1106.0,0.136,False,False,False
AGREGAT,Agregat,2026-03-18,-16.0,-0.092,False,False,False
AGREGAT,Agregat,2026-03-25,2247.0,0.368,False,False,False
AGREGAT,Agregat,2026-04-08,-2084.0,-0.512,False,False,False
AGREGAT,Agregat,2026-04-15,-1818.0,-0.458,False,False,False
AGREGAT,Agregat,2026-04-29,3368.0,0.596,False,False,False
AGREGAT,Agregat,2026-05-06,-2204.0,-0.536,False,False,False
AGREGAT,Agregat,2026-05-13,770.0,0.068,False,False,False
AGREGAT,Agregat,2026-05-20,-1253.0,-0.343,False,False,False
AGREGAT,Agregat,2026-05-27,1892.0,0.296,False,False,False
AGREGAT,Agregat,2026-06-03,-2300.0,-0.556,False,False,False
AGREGAT,Agregat,2026-06-17,-2655.0,-0.628,False,False,False
AGREGAT,Agregat,2026-06-24,394.0,-0.008,False,False,False
AGREGAT,Agregat,2026-07-01,-1399.0,-0.373,False,False,False
AGREGAT,Agregat,2026-07-08,-236.0,-0.136,False,False,False
AGREGAT,Agregat,2026-07-15,1159.0,0.147,False,False,False
