korak,razlicica,vrsta,kazalnik,vrednost,enota
B,delno_ocisceno,Endoproteza kolena,povprecje,8844.9279,
B,delno_ocisceno,Endoproteza kolena,sd_razlik,178.2971,
B,delno_ocisceno,Endoproteza kolena,n_tednov,111.0,
B,delno_ocisceno,Agregat,rast_prva_zadnja_pct,15.8598,
B,delno_ocisceno,Agregat,rast_prva_vrh_pct,17.9675,
B,delno_ocisceno,Agregat,naklon_na_teden,596.595,
B,delno_ocisceno,Agregat,R2,0.9206,
B,delno_ocisceno,Agregat,povprecje,327630.6577,
B,delno_ocisceno,Agregat,sd_razlik,2409.5399,
B,delno_ocisceno,Agregat,n_tednov,111.0,
B,ocisceno,Dermatološki pregled - prvi,rast_prva_zadnja_pct,20.078,
B,ocisceno,Dermatološki pregled - prvi,rast_prva_vrh_pct,30.9181,
B,ocisceno,Dermatološki pregled - prvi,naklon_na_teden,48.5897,
B,ocisceno,Dermatološki pregled - prvi,R2,0.6471,
B,ocisceno,Dermatološki pregled - prvi,povprecje,29194.0727,
B,ocisceno,Dermatološki pregled - prvi,sd_razlik,246.7103,
B,ocisceno,Dermatološki pregled - prvi,n_tednov,110.0,
B,ocisceno,Kardiološki pregled - prvi,rast_prva_zadnja_pct,-11.5897,
B,ocisceno,Kardiološki pregled - prvi,rast_prva_vrh_pct,0.0,
B,ocisceno,Kardiološki pregled - prvi,naklon_na_teden,-17.3279,
B,ocisceno,Kardiološki pregled - prvi,R2,0.3138,
B,ocisceno,Kardiološki pregled - prvi,povprecje,17378.7909,
B,ocisceno,Kardiološki pregled - prvi,sd_razlik,213.1324,
B,ocisceno,Kardiološki pregled - prvi,n_tednov,110.0,
B,ocisceno,UZ vratnih žil,rast_prva_zadnja_pct,59.9822,
B,ocisceno,UZ vratnih žil,rast_prva_vrh_pct,65.4138,
B,ocisceno,UZ vratnih žil,naklon_na_teden,120.0905,
B,ocisceno,UZ vratnih žil,R2,0.8786,
B,ocisceno,UZ vratnih žil,povprecje,24610.0182,
B,ocisceno,UZ vratnih žil,sd_razlik,340.8532,
B,ocisceno,UZ vratnih žil,n_tednov,110.0,
B,ocisceno,MR glave brez kontrasta,rast_prva_zadnja_pct,59.0157,
B,ocisceno,MR glave brez kontrasta,rast_prva_vrh_pct,69.5038,
B,ocisceno,MR glave brez kontrasta,naklon_na_teden,40.2159,
B,ocisceno,MR glave brez kontrasta,R2,0.654,
B,ocisceno,MR glave brez kontrasta,povprecje,5185.9182,
B,ocisceno,MR glave brez kontrasta,sd_razlik,126.0293,
B,ocisceno,MR glave brez kontrasta,n_tednov,110.0,
B,ocisceno,Operacija sive mrene (katarakte),rast_prva_zadnja_pct,44.124,
B,ocisceno,Operacija sive mrene (katarakte),rast_prva_vrh_pct,45.7939,
B,ocisceno,Operacija sive mrene (katarakte),naklon_na_teden,47.849,
B,ocisceno,Operacija sive mrene (katarakte),R2,0.9671,
B,ocisceno,Operacija sive mrene (katarakte),povprecje,14016.3818,
B,ocisceno,Operacija sive mrene (katarakte),sd_razlik,128.1628,
B,ocisceno,Operacija sive mrene (katarakte),n_tednov,110.0,
B,ocisceno,Endoproteza kolena,rast_prva_zadnja_pct,9.7408,
B,ocisceno,Endoproteza kolena,rast_prva_vrh_pct,9.7408,
B,ocisceno,Endoproteza kolena,naklon_na_teden,4.9433,
B,ocisceno,Endoproteza kolena,R2,0.4155,
B,ocisceno,Endoproteza kolena,povprecje,8842.4,
B,ocisceno,Endoproteza kolena,sd_razlik,179.0386,
B,ocisceno,Endoproteza kolena,n_tednov,110.0,
B,ocisceno,Agregat,rast_prva_zadnja_pct,15.8598,
B,ocisceno,Agregat,rast_prva_vrh_pct,17.9675,
B,ocisceno,Agregat,naklon_na_teden,604.4575,
B,ocisceno,Agregat,R2,0.9199,
B,ocisceno,Agregat,povprecje,327602.1818,
B,ocisceno,Agregat,sd_razlik,2202.9613,
B,ocisceno,Agregat,n_tednov,110.0,
C,izhodiscna,vse vrste skupaj,n_tock,777.0,
C,izhodiscna,vse vrste skupaj,z_flag,27.0,
C,izhodiscna,vse vrste skupaj,if_flag,42.0,
C,izhodiscna,vse vrste skupaj,konsenz,22.0,
C,delno_ocisceno,vse vrste skupaj,n_tock,770.0,
C,delno_ocisceno,vse vrste skupaj,z_flag,40.0,
C,delno_ocisceno,vse vrste skupaj,if_flag,42.0,
C,delno_ocisceno,vse vrste skupaj,konsenz,27.0,
C,ocisceno,vse vrste skupaj,n_tock,763.0,
C,ocisceno,vse vrste skupaj,z_flag,38.0,
C,ocisceno,vse vrste skupaj,if_flag,42.0,
C,ocisceno,vse vrste skupaj,konsenz,26.0,
C3,izhodiscna,contamination=0.02,konsenznih,17.0,
C3,delno_ocisceno,contamination=0.02,konsenznih,19.0,
C3,ocisceno,contamination=0.02,konsenznih,17.0,
C3,izhodiscna,contamination=0.03,konsenznih,20.0,
