razlicica,vzs,naziv,horizont,model,n,model_boljsi_na_n,mediana_razlike,wilcoxon_p,razlocljivo_p05
ocisceno,1018P,Kardiološki pregled - prvi,1,ar1,58,27,-0.4184,0.5537,False
ocisceno,1018P,Kardiološki pregled - prvi,1,lin,58,4,-427.9927,0.0,True
ocisceno,1018P,Kardiološki pregled - prvi,4,ar1,55,26,-2.9119,0.3187,False
ocisceno,1018P,Kardiološki pregled - prvi,4,lin,55,12,-349.2071,0.0,True
ocisceno,1941,UZ vratnih žil,1,ar1,58,31,51.3471,0.9599,False
ocisceno,1941,UZ vratnih žil,1,lin,58,3,-1292.9697,0.0,True
ocisceno,1941,UZ vratnih žil,4,ar1,55,24,-247.8437,0.1912,False
ocisceno,1941,UZ vratnih žil,4,lin,55,4,-1376.2631,0.0,True
ocisceno,1755,MR glave brez kontrasta,1,ar1,58,28,-8.8736,0.9229,False
ocisceno,1755,MR glave brez kontrasta,1,lin,58,1,-1092.6752,0.0,True
ocisceno,1755,MR glave brez kontrasta,4,ar1,55,30,62.2959,0.4359,False
ocisceno,1755,MR glave brez kontrasta,4,lin,55,1,-1077.2163,0.0,True
ocisceno,1195,Operacija sive mrene (katarakte),1,ar1,58,27,-11.1339,0.5589,False
ocisceno,1195,Operacija sive mrene (katarakte),1,lin,58,9,-234.427,0.0,True
ocisceno,1195,Operacija sive mrene (katarakte),4,ar1,55,38,100.3357,0.1774,False
ocisceno,1195,Operacija sive mrene (katarakte),4,lin,55,16,-167.551,0.0,True
ocisceno,1626,Endoproteza kolena,1,ar1,58,24,-17.2711,0.0421,True
ocisceno,1626,Endoproteza kolena,1,lin,58,14,-135.1845,0.0008,True
ocisceno,1626,Endoproteza kolena,4,ar1,55,30,12.3767,0.7566,False
ocisceno,1626,Endoproteza kolena,4,lin,55,29,26.7455,0.8538,False
ocisceno,AGREGAT,Agregat,1,ar1,58,33,310.3688,0.748,False
ocisceno,AGREGAT,Agregat,1,lin,58,8,-3297.0614,0.0,True
ocisceno,AGREGAT,Agregat,4,ar1,55,31,759.1935,0.7438,False
ocisceno,AGREGAT,Agregat,4,lin,55,11,-2124.5459,0.0,True
