razlicica,vzs,naziv,horizont,model,n_vse,MAE_vse,RMSE_vse,MASE_vse,MAE_vs_naivni_pct_vse,n_brez_vrzeli,MAE_brez_vrzeli,RMSE_brez_vrzeli,MASE_brez_vrzeli,MAE_vs_naivni_pct_brez_vrzeli,razlika_o_t
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,60,295.086,669.62,1.211,-3.788,55,285.308,682.506,1.189,-2.408,1.38
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,60,1202.159,1443.476,4.744,-322.824,55,1144.795,1399.08,4.527,-310.91,11.914
izhodiscna,1010P,Dermatološki pregled - prvi,1,naivni,60,284.317,670.541,1.18,0.0,55,278.6,689.513,1.17,0.0,0.0
izhodiscna,1010P,Dermatološki pregled - prvi,4,ar1,57,576.475,865.516,2.351,-8.143,39,519.279,670.971,2.107,-17.009,-8.866
izhodiscna,1010P,Dermatološki pregled - prvi,4,lin,57,1393.082,1634.356,5.553,-161.332,39,1128.661,1425.316,4.427,-154.32,7.011
izhodiscna,1010P,Dermatološki pregled - prvi,4,naivni,57,533.07,860.865,2.244,0.0,39,443.795,611.47,1.885,0.0,0.0
izhodiscna,1018P,Kardiološki pregled - prvi,1,ar1,60,146.922,188.525,0.851,-0.723,55,145.154,186.383,0.838,-0.282,0.441
izhodiscna,1018P,Kardiološki pregled - prvi,1,lin,60,834.275,1021.953,4.726,-471.943,55,844.814,1029.706,4.786,-483.655,-11.711
izhodiscna,1018P,Kardiološki pregled - prvi,1,naivni,60,145.867,187.504,0.846,0.0,55,144.745,185.499,0.837,0.0,0.0
izhodiscna,1018P,Kardiološki pregled - prvi,4,ar1,57,377.0,457.224,2.164,-1.964,39,424.033,508.937,2.431,0.713,2.677
izhodiscna,1018P,Kardiološki pregled - prvi,4,lin,57,941.828,1179.787,5.305,-154.729,39,989.439,1223.047,5.548,-131.677,23.052
izhodiscna,1018P,Kardiološki pregled - prvi,4,naivni,57,369.737,456.938,2.131,0.0,39,427.077,519.099,2.457,0.0,0.0
izhodiscna,1195,Operacija sive mrene (katarakte),1,ar1,60,135.111,257.718,1.148,-2.681,55,138.265,265.824,1.176,-3.001,-0.32
izhodiscna,1195,Operacija sive mrene (katarakte),1,lin,60,317.099,384.181,2.624,-140.987,55,314.818,385.097,2.612,-134.525,6.462
izhodiscna,1195,Operacija sive mrene (katarakte),1,naivni,60,131.583,255.166,1.114,0.0,55,134.236,262.814,1.137,0.0,0.0
izhodiscna,1195,Operacija sive mrene (katarakte),4,ar1,57,236.055,349.815,1.975,-0.449,39,233.106,333.607,1.964,-1.543,-1.094
izhodiscna,1195,Operacija sive mrene (katarakte),4,lin,57,370.134,433.365,3.07,-57.504,39,341.448,419.925,2.798,-48.738,8.766
izhodiscna,1195,Operacija sive mrene (katarakte),4,naivni,57,235.0,336.286,1.94,0.0,39,229.564,305.728,1.904,0.0,0.0
izhodiscna,1626,Endoproteza kolena,1,ar1,60,208.934,273.751,1.651,-27.411,55,205.571,269.73,1.636,-27.095,0.316
