razlicica,vrsta,horizont,model,n_testnih_tock,MAE,delta_MAE_proti_naivnemu_pct,wilcoxon_p
B_brez_interpolacije,UZ vratnih žil,1,lin,58,1640.8165,-469.6598,0.0
B_brez_interpolacije,UZ vratnih žil,1,naivni,58,288.0345,0.0,
B_brez_interpolacije,UZ vratnih žil,4,ar1,55,705.5084,-17.731,0.1912
B_brez_interpolacije,UZ vratnih žil,4,lin,55,1845.9574,-208.0423,0.0
B_brez_interpolacije,UZ vratnih žil,4,naivni,55,599.2545,0.0,
B_brez_interpolacije,Agregat,1,ar1,58,1472.4828,1.0428,0.748
B_brez_interpolacije,Agregat,1,lin,58,5158.1044,-246.6468,0.0
B_brez_interpolacije,Agregat,1,naivni,58,1488.0,0.0,
B_brez_interpolacije,Agregat,4,ar1,55,2964.6433,0.7684,0.7438
B_brez_interpolacije,Agregat,4,lin,55,5631.759,-88.5045,0.0
B_brez_interpolacije,Agregat,4,naivni,55,2987.6,0.0,
