datum,delez_padec,delez_rast,delez_v_oblika,mediana_rel_spr
2024-04-04,0.0,0.0,0.0,
2024-04-11,0.19148936170212766,0.18439716312056736,0.07092198581560284,0.0
2024-04-18,0.20921985815602837,0.1773049645390071,0.0673758865248227,0.0
2024-04-25,0.1702127659574468,0.19148936170212766,0.05319148936170213,0.001484159555295017
2024-05-03,0.1950354609929078,0.1524822695035461,0.06028368794326241,0.0
2024-05-09,0.20567375886524822,0.1702127659574468,0.0673758865248227,0.0
2024-05-16,0.2375886524822695,0.1879432624113475,0.1099290780141844,-0.004729018679294927
2024-05-23,0.1524822695035461,0.24468085106382978,0.03546099290780142,0.0004999999999999449
2024-05-30,0.20921985815602837,0.1702127659574468,0.0851063829787234,0.0
2024-06-06,0.2198581560283688,0.1702127659574468,0.08865248226950355,-0.006200642844510051
2024-06-13,0.15602836879432624,0.24468085106382978,0.03900709219858156,0.0
2024-06-20,0.23404255319148937,0.1773049645390071,0.0673758865248227,-0.008543924300247474
2024-06-27,0.20921985815602837,0.15602836879432624,0.09219858156028368,0.0
2024-07-04,0.16312056737588654,0.23404255319148937,0.06028368794326241,0.0
2024-07-11,0.20921985815602837,0.20567375886524822,0.06382978723404255,0.0
2024-07-18,0.21631205673758866,0.22340425531914893,0.04964539007092199,0.0
2024-07-25,0.2695035460992908,0.14184397163120568,0.06028368794326241,-0.0014422752600548039
2024-08-01,0.2624113475177305,0.13829787234042554,0.04964539007092199,-0.004285686748170314
2024-08-08,0.22340425531914893,0.1773049645390071,0.05319148936170213,0.0
2024-08-16,0.20567375886524822,0.1595744680851064,0.07446808510638298,0.0
2024-08-22,0.1702127659574468,0.1773049645390071,0.07801418439716312,0.0
2024-08-29,0.1702127659574468,0.22340425531914893,0.05319148936170213,0.0
2024-09-05,0.18085106382978725,0.14184397163120568,0.07801418439716312,-0.005589383294301309
2024-09-12,0.17375886524822695,0.24468085106382978,0.05673758865248227,0.001283505665195972
2024-09-19,0.25177304964539005,0.18085106382978725,0.07092198581560284,-0.004105352505651694
2024-09-26,0.1879432624113475,0.18085106382978725,0.0851063829787234,0.0
2024-10-03,0.14893617021276595,0.2730496453900709,0.06028368794326241,0.009547028800583335
2024-10-10,0.1595744680851064,0.2375886524822695,0.05319148936170213,0.0031067690459849473
2024-10-17,0.19148936170212766,0.1702127659574468,0.06028368794326241,-0.0005610098176718203
2024-10-24,0.1702127659574468,0.22340425531914893,0.0673758865248227,0.0017069480961110495
2024-10-31,0.1879432624113475,0.19858156028368795,0.05673758865248227,0.00017158544955386823
2024-11-07,0.1879432624113475,0.20567375886524822,0.06382978723404255,0.0
2024-11-14,0.16312056737588654,0.23404255319148937,0.04964539007092199,0.0
2024-11-21,0.2198581560283688,0.1773049645390071,0.07801418439716312,-0.002892911645014873
2024-11-28,0.1702127659574468,0.20212765957446807,0.07801418439716312,0.0
2024-12-05,0.1524822695035461,0.24468085106382978,0.05673758865248227,0.0
2024-12-12,0.14893617021276595,0.1702127659574468,0.04609929078014184,0.0
2024-12-19,0.20212765957446807,0.21631205673758866,0.0673758865248227,0.0
2025-01-08,0.25886524822695034,0.19858156028368795,0.11702127659574468,0.0
2025-01-15,0.24822695035460993,0.20212765957446807,0.08156028368794327,-0.0031596530267978262
2025-01-22,0.16312056737588654,0.20921985815602837,0.07801418439716312,0.0048906888958791805
2025-01-29,0.13829787234042554,0.28368794326241137,0.03900709219858156,0.011094603414516846
2025-02-05,0.19858156028368795,0.16666666666666666,0.10638297872340426,0.0
2025-02-12,0.10638297872340426,0.3120567375886525,0.028368794326241134,0.01609378214594348
2025-02-19,0.22695035460992907,0.1524822695035461,0.09929078014184398,0.0
2025-02-26,0.10283687943262411,0.24822695035460993,0.03546099290780142,0.012145417930645275
2025-03-05,0.12411347517730496,0.22340425531914893,0.04609929078014184,0.0
2025-03-12,0.1702127659574468,0.20567375886524822,0.0673758865248227,0.0
2025-03-19,0.20212765957446807,0.17375886524822695,0.06382978723404255,-0.0013162571520224375
2025-03-26,0.1879432624113475,0.1453900709219858,0.07801418439716312,0.0
2025-04-02,0.17375886524822695,0.20567375886524822,0.07446808510638298,0.002842710691648098
2025-04-09,0.1879432624113475,0.1879432624113475,0.07092198581560284,-0.00010615711252653925
2025-04-16,0.24113475177304963,0.16312056737588654,0.09219858156028368,0.0
2025-04-23,0.1879432624113475,0.19858156028368795,0.07801418439716312,0.0
2025-04-30,0.16666666666666666,0.19858156028368795,0.03546099290780142,0.0009980039920159944
2025-05-07,0.1950354609929078,0.12056737588652482,0.08156028368794327,-0.004965998568360774
2025-05-14,0.20921985815602837,0.2198581560283688,0.08156028368794327,0.0003714710252600284
2025-05-21,0.17375886524822695,0.18439716312056736,0.0673758865248227,0.0
2025-05-28,0.1595744680851064,0.2198581560283688,0.07446808510638298,0.004707792207792272
2025-06-04,0.17375886524822695,0.2198581560283688,0.03546099290780142,0.002167852106303658
2025-06-11,0.6134751773049646,0.0851063829787234,0.49645390070921985,-0.09999999999999998
2025-06-18,0.12411347517730496,0.5886524822695035,0.031914893617021274,0.0714285714285714
2025-07-02,0.22695035460992907,0.24468085106382978,0.06382978723404255,0.005566622399291732
