vzs,naziv,prva,zadnja,rast_pct,mediana,modelirana
1707,CT artrografija rame s KS,31.0,26.0,-16.13,19.0,False
1713,CT prsnih organov brez KS,1665.0,2591.0,55.62,1932.0,False
1715,CT trebušnih organov brez KS,839.0,1060.0,26.34,868.5,False
1716,CT zgornjega abdomna brez KS,16.0,15.0,-6.25,12.0,False
1717,CT medeničnih organov brez KS,11.0,13.0,18.18,8.5,False
1718,CT prsnega koša - pljuč HRCT,905.0,1602.0,77.02,1251.5,False
1719,CT abdomna brez KS - drugo,251.0,243.0,-3.19,217.0,False
1720,CT pljuč protokol lungcare,102.0,175.0,71.57,143.5,False
1722,CT širokega črevesa brez KS,6.0,4.0,-33.33,8.0,False
1724,CT prsnih organov s KS,1664.0,2515.0,51.14,1853.5,False
1725,CT trebušnih organov s KS,1584.0,2531.0,59.79,1684.0,False
1726,CT zgornjega abdomna s KS,59.0,77.0,30.51,45.0,False
1727,CT medeničnih organov s KS,6.0,13.0,116.67,7.0,False
1729,CT urografija - KS,414.0,666.0,60.87,406.5,False
1730,CT širokega črevesa s KS,19.0,13.0,-31.58,18.0,False
1732,CTA torakalne aorte,231.0,415.0,79.65,253.0,False
1733,CTA abdominalne aorte,197.0,299.0,51.78,228.0,False
1734,CTA pelvičnih žil,53.0,60.0,13.21,48.0,False
1735,CTA zgornjih okončin,8.0,14.0,75.0,12.0,False
1736,CTA pljučnih arterij,41.0,42.0,2.44,37.0,False
1739,CTA selektivne angiografije,11.0,15.0,36.36,13.0,False
1740,CTA aorto - cervikalna,333.0,563.0,69.07,371.0,False
1741,CTA pelvičnih a. in a. spodnjih okončin,363.0,529.0,45.73,379.0,False
1742,CTA torakalne in abdominalne aorte,152.0,302.0,98.68,191.0,False
1743,CTA možganskih arterij,232.0,452.0,94.83,293.5,False
1746,CTA venografija drugo,3.0,13.0,333.33,7.0,False
1747,CTA srca - prikaz kalcinacij,50.0,181.0,262.0,139.0,False
1748,CTA srca - prikaz morfoloških struktur,57.0,49.0,-14.04,74.0,False
1749,CTA srca - prikaz funkcije,11.0,5.0,-54.55,13.0,False
1750,CTA koronarnih arterij,1290.0,1676.0,29.92,1495.5,False
1755,MR glave brez kontrasta,4958.0,7884.0,59.02,4768.5,True
1756,MR obraza in drugo brez KS,128.0,428.0,234.38,158.5,False
1757,MR vratu brez KS,79.0,103.0,30.38,71.0,False
1758,MR multipla skleroza brez KS,582.0,819.0,40.72,498.5,False
1759,MR glave s KS,2604.0,3641.0,39.82,2822.5,False
1760,MR obraza in drugo s KS,764.0,217.0,-71.6,193.5,False
1762,MR multipla skleroza s KS,196.0,265.0,35.2,230.0,False
1763,MR vratu s KS,37.0,66.0,78.38,50.0,False
1764,MR cervikalne hrbtenice,2718.0,3706.0,36.35,2591.0,False
1765,MR rame,1779.0,3093.0,73.86,2061.0,False
1766,MR torakalne hrbtenice,743.0,1008.0,35.67,702.0,False
1767,MR komolca,151.0,265.0,75.5,175.0,False
1768,MR lumbosakralne hrbtenice,5910.0,8244.0,39.49,5508.5,False
1769,MR zapestja,242.0,440.0,81.82,261.5,False
1770,MR roke,128.0,335.0,161.72,142.5,False
1771,MR kolka,723.0,1189.0,64.45,751.0,False
1772,MR kolena,3039.0,5498.0,80.91,3546.0,False
1773,MR gležnja,467.0,974.0,108.57,542.0,False
1774,MR stopala,436.0,898.0,105.96,522.5,False
1776,MR skeleta brez KS - drugo,215.0,364.0,69.3,221.0,False
1777,MR SIS (sakroliakalnega sklepa) brez KS,236.0,342.0,44.92,241.5,False
