vzs_sifra,vzs_naziv,cd_zelo_hitro,cd_hitro,cd_redno,cak_zelo_hitro,cak_hitro,cak_redno,cak_skupaj,n_tednov
1239,Biopsija mandljev/žrelnice,0.0,0.0,0.0,1.0,1.0,1.0,1.0,112
1240,Incizija in drenaža peritonzilarnega abscesa,0.0,0.0,0.0,1.0,1.0,1.0,1.0,74
1241,Tonzilektomija/adenoidektomija,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1244,Biopsija žrela,0.0,0.0,0.0,0.9911,0.9911,0.9911,0.9911,112
1246,Incizija in drenaža abscesov ali cist v ustni votlini,0.0,0.0,0.0,1.0,1.0,1.0,1.0,112
1264,Drugi oralni operativni posegi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1265,Posegi v grlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1285,Aortokoronarni obvodi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1286,Menjava srčne zaklopke,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,112
1287,Aortokoronarni obvodi z menjavo srčne zaklopke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1288,Operacije prirojenih srčnih napak,0.0,0.0,0.0,0.0268,0.0089,0.0,0.0,112
1289,Operacija torakalne anevrizme,0.0,0.0,0.0,0.0089,0.0089,0.0536,0.0089,112
1290,Operacija abdominalne aorte (anevrizma ali okluzija),0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1291,Femoro - poplitealni obvod (bypass),0.0,0.0,0.0,0.0089,0.0,0.0,0.0,112
1292,Tea ACI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1293,Druge žilne operacije (razen arterije),0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1294,Revizije po žilnih operacijah (razen arterije),0.0,0.0,0.0,1.0,1.0,1.0,1.0,112
1298,Ostale operacije na srcu,0.0,0.0,0.0,0.1696,0.2054,0.2143,0.1696,112
1299,"Revizije po operacijah na srcu (krvavitve, tamponade,…)",0.0,0.0,0.0,1.0,1.0,1.0,1.0,112
1301,PTCA (koronarna angiografija),0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1303,Transkateterska embolizacija krvnih žil,0.0,0.0,0.0,0.0089,0.0179,0.0,0.0,112
