vzs_sifra,vzs_naziv,od,do,tednov,najv_odklon,povpr_raven,lokalna_mediana,manjkajoc_obseg
2357,CT komolca,2024-05-23,2024-05-30,2,-0.625,4,8,4
2107,Vertebroplastika,2025-06-11,2025-06-18,2,-0.444,5,9,4
1887,RTG spodnje čeljusti (mandibule),2025-07-09,2025-07-16,2,-0.385,9,13,4
2357,CT komolca,2025-07-02,2025-07-09,2,-0.714,3,7,4
1402,"Biopsija vulve, perineja in/ali nožnice",2024-09-19,2024-10-03,3,-0.333,6,9,3
1670,CT orbit brez KS,2025-04-23,2025-05-07,3,-0.75,1,4,3
1673,CT obraznih kosti,2025-07-16,2025-07-23,2,-0.429,4,7,3
1717,CT medeničnih organov brez KS,2024-12-05,2024-12-12,2,-0.5,3,6,3
1722,CT širokega črevesa brez KS,2025-04-30,2025-05-14,3,-0.333,4,7,3
1716,CT zgornjega abdomna brez KS,2025-04-02,2025-04-16,3,-0.5,3,6,3
1670,CT orbit brez KS,2025-03-05,2025-03-12,2,-0.667,3,6,3
1670,CT orbit brez KS,2024-04-11,2024-04-18,2,-0.333,7,10,3
2357,CT komolca,2025-08-13,2025-08-20,2,-0.5,3,6,3
2348,MR celotne hrbtenice,2026-01-14,2026-01-21,2,-0.273,8,11,3
1881,RTG glave,2026-01-07,2026-01-14,2,-0.429,4,7,3
1881,RTG glave,2025-06-11,2025-06-18,2,-0.5,3,6,3
1876,RTG ključnice,2026-06-17,2026-06-24,2,-0.429,7,10,3
1887,RTG spodnje čeljusti (mandibule),2025-03-19,2025-03-26,2,-0.375,5,8,3
1717,CT medeničnih organov brez KS,2025-08-13,2025-09-03,4,-0.571,3,6,3
1784,MR roke s KS,2024-04-25,2024-05-09,3,-0.5,3,6,3
1727,CT medeničnih organov s KS,2024-08-29,2024-09-12,3,-0.571,4,7,3
1735,CTA zgornjih okončin,2024-09-26,2024-10-03,2,-0.5,3,6,3
1749,CTA srca - prikaz funkcije,2025-11-05,2025-11-12,2,-0.3,7,10,3
1739,CTA selektivne angiografije,2026-03-18,2026-03-25,2,-0.273,8,11,3
1874,RTG hrbtenice v predelu L5 - S1,2026-04-29,2026-05-06,2,-0.6,2,5,3
1867,RTG stegnenice,2026-05-06,2026-05-27,4,-0.273,8,11,3
1881,RTG glave,2025-01-08,2025-01-15,2,-0.273,8,11,3
1881,RTG glave,2024-09-12,2024-09-19,2,-0.375,5,8,3
1746,CTA venografija drugo,2025-04-30,2025-05-21,4,-0.5,3,6,3
1783,MR zapestja s KS,2024-05-09,2024-05-16,2,-0.5,4,7,3
1812,MRA ekstremiteti ( vsaka okončina posebej ) T,2025-02-05,2025-02-19,3,-0.6,3,6,3
1787,MR gležnja s KS,2025-07-02,2025-07-09,2,-0.375,5,8,3
1816,MRA možganskega žilja - vene KS,2024-06-06,2024-06-20,3,-0.5,3,6,3
1817,MRA aorto - cervikalna KS,2026-04-15,2026-04-29,2,-0.333,6,9,3
1881,RTG glave,2026-07-01,2026-07-15,3,-0.8,2,5,3
1809,MRA abdominalne aorte TOF,2025-06-04,2025-06-11,2,-0.6,2,5,3
1812,MRA ekstremiteti ( vsaka okončina posebej ) T,2024-06-13,2024-06-27,3,-0.429,4,7,3
1784,MR roke s KS,2025-07-09,2025-07-16,2,-0.4,3,5,2
1809,MRA abdominalne aorte TOF,2025-01-29,2025-02-19,4,-0.667,1,3,2
1787,MR gležnja s KS,2024-04-11,2024-04-18,2,-0.333,4,6,2
1288,Operacije prirojenih srčnih napak,2024-11-07,2024-12-05,5,-0.667,1,3,2
1670,CT orbit brez KS,2024-10-03,2024-10-10,2,-0.6,3,5,2
1722,CT širokega črevesa brez KS,2025-10-01,2025-10-08,2,-0.286,5,7,2
1821,MRA pelvično žilje KS,2024-08-08,2024-08-16,2,-0.4,3,5,2
2230,Ekscizija majhnih tumorjev v oralni kirurgiji,2026-01-14,2026-01-28,3,-0.286,5,7,2
2106,Revizijska operacija ramena,2026-07-01,2026-07-08,2,-0.333,6,8,2
2346,MR protokol epilepsija s KS,2024-10-17,2024-10-24,2,-0.333,4,6,2
1787,MR gležnja s KS,2026-03-18,2026-03-25,2,-0.333,4,6,2
1814,MRA TOF - drugo,2025-08-20,2025-09-03,3,-0.333,4,6,2
1816,MRA možganskega žilja - vene KS,2024-11-28,2024-12-12,3,-0.5,2,4,2
1821,MRA pelvično žilje KS,2026-01-14,2026-01-21,2,-0.4,3,5,2
1874,RTG hrbtenice v predelu L5 - S1,2024-12-12,2024-12-19,2,-0.286,5,7,2
1442,Poseg na žrelu,2025-06-04,2025-06-11,2,-0.333,2,3,1
1288,Operacije prirojenih srčnih napak,2025-03-05,2025-03-12,2,-0.333,2,3,1
1288,Operacije prirojenih srčnih napak,2025-05-28,2025-06-11,3,-0.5,1,2,1
1220,Miringoplastika,2024-09-05,2024-09-26,4,-0.333,2,3,1
1746,CTA venografija drugo,2024-07-11,2024-08-01,4,-0.333,2,3,1
1746,CTA venografija drugo,2024-05-03,2024-05-09,2,-0.333,2,3,1
1784,MR roke s KS,2024-09-12,2024-10-03,4,-0.5,2,3,1
1670,CT orbit brez KS,2025-06-18,2025-07-09,3,-0.5,2,3,1
1827,MRA trebuha s KS,2026-07-08,2026-07-15,2,-0.333,2,3,1
1827,MRA trebuha s KS,2026-05-06,2026-05-13,2,-0.5,1,2,1
1827,MRA trebuha s KS,2024-08-08,2024-08-29,4,-0.333,2,3,1
1827,MRA trebuha s KS,2024-05-16,2024-05-23,2,-0.5,1,2,1
1816,MRA možganskega žilja - vene KS,2025-05-07,2025-05-14,2,-0.333,2,3,1
1821,MRA pelvično žilje KS,2025-01-08,2025-01-15,2,-0.333,2,3,1
1809,MRA abdominalne aorte TOF,2024-06-06,2024-06-13,2,-0.5,1,2,1
1809,MRA abdominalne aorte TOF,2025-10-15,2025-10-29,3,-0.5,1,2,1
1784,MR roke s KS,2025-03-12,2025-03-19,2,-0.5,1,2,1
1784,MR roke s KS,2025-02-19,2025-02-26,2,-0.5,1,2,1
1749,CTA srca - prikaz funkcije,2026-06-17,2026-06-24,2,-0.333,2,3,1
1866,RTG pogačice,2024-07-25,2024-08-01,2,-0.333,2,3,1
2163,Posegi na notranjem ušesu v lokalni anestezij,2024-04-04,2024-04-11,2,-0.333,2,3,1
2230,Ekscizija majhnih tumorjev v oralni kirurgiji,2024-05-23,2024-06-06,3,-0.333,2,3,1
2230,Ekscizija majhnih tumorjev v oralni kirurgiji,2024-08-16,2024-08-22,2,-0.5,1,2,1
2376,Posegi na koščicah srednjega ušesa,2025-08-27,2025-09-03,2,-0.333,2,3,1
