nabor,razlicica,vrsta,vzs,horizont,model,n,delta_pct
fiksni_292,ocisceno,Dermatološki pregled - prvi,1010P,1,lin,58,-537.6779949237776
fiksni_292,ocisceno,Dermatološki pregled - prvi,1010P,4,ar1,55,-9.511170945656877
fiksni_292,ocisceno,Dermatološki pregled - prvi,1010P,4,lin,55,-202.51806758360948
fiksni_292,ocisceno,Kardiološki pregled - prvi,1018P,1,ar1,58,-1.3111370091202001
fiksni_292,ocisceno,Kardiološki pregled - prvi,1018P,1,lin,58,-501.5116407304403
fiksni_292,ocisceno,Kardiološki pregled - prvi,1018P,4,ar1,55,-3.4604898464762224
fiksni_292,ocisceno,Kardiološki pregled - prvi,1018P,4,lin,55,-148.37306148589548
fiksni_292,ocisceno,UZ vratnih žil,1941,1,ar1,58,1.2208137619257653
fiksni_292,ocisceno,UZ vratnih žil,1941,1,lin,58,-469.65975479209396
fiksni_292,ocisceno,UZ vratnih žil,1941,4,ar1,55,-17.7310068142043
fiksni_292,ocisceno,UZ vratnih žil,1941,4,lin,55,-208.04228812418444
fiksni_292,ocisceno,MR glave brez kontrasta,1755,1,ar1,58,-0.04892924012773747
fiksni_292,ocisceno,MR glave brez kontrasta,1755,1,lin,58,-914.641531526347
fiksni_292,ocisceno,MR glave brez kontrasta,1755,4,ar1,55,3.3419221023233803
fiksni_292,ocisceno,MR glave brez kontrasta,1755,4,lin,55,-257.5941189840742
fiksni_292,ocisceno,Operacija sive mrene (katarakte),1195,1,ar1,58,-3.4959098986805603
fiksni_292,ocisceno,Operacija sive mrene (katarakte),1195,1,lin,58,-219.67497687180324
fiksni_292,ocisceno,Operacija sive mrene (katarakte),1195,4,ar1,55,16.100346163044822
fiksni_292,ocisceno,Operacija sive mrene (katarakte),1195,4,lin,55,-85.42895132169899
fiksni_292,ocisceno,Endoproteza kolena,1626,1,ar1,58,-22.217049456530646
fiksni_292,ocisceno,Endoproteza kolena,1626,1,lin,58,-58.05652269888888
fiksni_292,ocisceno,Endoproteza kolena,1626,4,ar1,55,-9.212482055719097
fiksni_292,ocisceno,Endoproteza kolena,1626,4,lin,55,-0.6814051296824886
fiksni_292,ocisceno,Agregat,AGREGAT,1,ar1,58,1.0428201060281084
fiksni_292,ocisceno,Agregat,AGREGAT,1,lin,58,-246.64680414071555
fiksni_292,ocisceno,Agregat,AGREGAT,4,ar1,55,0.7683986661357611
fiksni_292,ocisceno,Agregat,AGREGAT,4,lin,55,-88.5044531072146
