vzs_sifra,vzs_naziv,cak_zacetek,cak_konec,sprememba,sprememba_pct
1762,MR multipla skleroza s KS,196.0,265.0,69.0,35.2
1793,MR abdomna - drugo,341.0,405.0,64.0,18.8
1802,MR medenice s KS,330.0,393.0,63.0,19.1
1796,MR jeter,330.0,390.0,60.0,18.2
1164,Druge nevrokirurške operacije,27.0,86.0,59.0,218.5
1396,Ambulantna histeroskopija,519.0,573.0,54.0,10.4
1012P,Flebološki pregled - prvi,1273.0,1325.0,52.0,4.1
2178,Endoskopske operacije obnosnih votlin v splošni anesteziji,692.0,744.0,52.0,7.5
1800,MR abdomna s KS - drugo,141.0,190.0,49.0,34.8
1797,MR dojke,60.0,108.0,48.0,80.0
1804,MR dojke s KS,108.0,156.0,48.0,44.4
1606,"Operacija Dupuytrenove kontrakture (CD, fibromatoza dlančne fascije)",214.0,260.0,46.0,21.5
1685,CT lumbo - sakralne hrbtenice,95.0,141.0,46.0,48.4
1044P,Pregled ob odvajanju odvisnosti od alkohola - prvi,101.0,146.0,45.0,44.6
1933,UZ otroške glave,58.0,101.0,43.0,74.1
2168,Druge operacije nosu v lokalni anesteziji,880.0,923.0,43.0,4.9
2345,MR protokol epilepsija brez KS,60.0,102.0,42.0,70.0
1287,Aortokoronarni obvodi z menjavo srčne zaklopke,172.0,214.0,42.0,24.4
1807,MRA aorto - cervikalna TOF,29.0,71.0,42.0,144.8
1680,CT vratu s KS,64.0,101.0,37.0,57.8
1215,Miringotomija,18.0,55.0,37.0,205.6
1789,MR skeleta s KS - drugo,23.0,57.0,34.0,147.8
1063P,Revmatološki pregled otroka - prvi,105.0,139.0,34.0,32.4
1806,MRA možganskega žilja - vene TOF,12.0,45.0,33.0,275.0
1675,CT vratu brez KS,31.0,63.0,32.0,103.2
2383,"Drugi posegi v ustih, na nebu ali jezičku",347.0,378.0,31.0,8.9
2356,CT zapestja,29.0,59.0,30.0,103.4
2105,Revizijska operacija kolena,82.0,112.0,30.0,36.6
1763,MR vratu s KS,37.0,66.0,29.0,78.4
1176,Operacije na ščitnici in obščitnici,134.0,162.0,28.0,20.9
1688,CT kolkov,45.0,73.0,28.0,62.2
1808,MRA torakalne aorte TOF,23.0,50.0,27.0,117.4
2177,Funkcionalne estetske operacije nosu v splošni anesteziji,359.0,385.0,26.0,7.2
2162,Posegi na bobniču ali srednjem ušesu v lokalni anesteziji,251.0,276.0,25.0,10.0
1672,CT srednjega ušesa in temporalke,81.0,106.0,25.0,30.9
1757,MR vratu brez KS,79.0,103.0,24.0,30.4
1818,MRA torakalne aorte KS,28.0,51.0,23.0,82.1
1861,RTG stopala,293.0,315.0,22.0,7.5
2380,Posegi v nosnih sinusih,9.0,30.0,21.0,233.3
1693,CT gležnja,57.0,78.0,21.0,36.8
1683,CT cervikalne hrbtenice,33.0,52.0,19.0,57.6
1286,Menjava srčne zaklopke,19.0,38.0,19.0,100.0
1697,CT skeleta drugo - brez KS,21.0,40.0,19.0,90.5
1726,CT zgornjega abdomna s KS,59.0,77.0,18.0,30.5
1692,CT rame,71.0,88.0,17.0,23.9
1285,Aortokoronarni obvodi,28.0,45.0,17.0,60.7
1814,MRA TOF - drugo,35.0,51.0,16.0,45.7
1836,MRA srca in velikih žil - prikaz pretoka s KS,21.0,37.0,16.0,76.2
2347,MR multipla skleroza s KS s 3D,174.0,190.0,16.0,9.2
1812,MRA ekstremiteti ( vsaka okončina posebej ) TOF,6.0,21.0,15.0,250.0
1798,MR prsnega koša s KS,20.0,34.0,14.0,70.0
1687,CT skeleta medenice,12.0,26.0,14.0,116.7
1821,MRA pelvično žilje KS,4.0,17.0,13.0,325.0
1992,UZ preiskava ene bezgavčne lože,12.0,25.0,13.0,108.3
1853,RTG dlani,137.0,150.0,13.0,9.5
1042P,Pregled ob odvajanju odvisnosti od prepovedanih drog - prvi,10.0,23.0,13.0,130.0
2170,Mali posegi malignih sprememb v otorinolaringologiji v lokalni anesteziji,168.0,180.0,12.0,7.1
1681,CT skeleta okončin,49.0,60.0,11.0,22.4
2107,Vertebroplastika,11.0,22.0,11.0,100.0
1860,RTG prstov nog,27.0,37.0,10.0,37.0
1746,CTA venografija drugo,3.0,13.0,10.0,333.3
2358,CT jeter s KS - 4 faze,17.0,27.0,10.0,58.8
1151,Fenestracija hrbtenice,106.0,116.0,10.0,9.4
1870,RTG sakroiliakalnega sklepa - SIS,38.0,48.0,10.0,26.3
1815,MRA možganskega žilja - arterije KS,57.0,66.0,9.0,15.8
2163,Posegi na notranjem ušesu v lokalni anesteziji,2.0,11.0,9.0,450.0
1641,Osteosinteza cervikalne hrbtenice,5.0,13.0,8.0,160.0
2230,Ekscizija majhnih tumorjev v oralni kirurgiji,3.0,11.0,8.0,266.7
1786,MR kolena s KS,16.0,24.0,8.0,50.0
